# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.1 Build 850 06/23/2022 SJ Lite Edition
# File: /home/gpaulino/training_fpga/lab_practices/Mercurio_IV_Lab_0_Programming_v21_1_1/labx1/quartus/Labx1.csv
# Generated on: Wed Oct 12 22:01:27 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLOCK_50MHz,Input,PIN_T1,2,B2_N0,PIN_T1,2.5 V,,,,,
KEY[11],Input,PIN_Y17,4,B4_N0,PIN_Y17,2.5 V,,,,,
KEY[10],Input,PIN_U17,4,B4_N0,PIN_U17,2.5 V,,,,,
KEY[9],Input,PIN_W15,4,B4_N1,PIN_W15,2.5 V,,,,,
KEY[8],Input,PIN_W19,5,B5_N3,PIN_W19,2.5 V,,,,,
KEY[7],Input,PIN_W17,4,B4_N0,PIN_W17,2.5 V,,,,,
KEY[6],Input,PIN_V15,4,B4_N2,PIN_V15,2.5 V,,,,,
KEY[5],Input,PIN_U21,5,B5_N1,PIN_U21,2.5 V,,,,,
KEY[4],Input,PIN_W20,5,B5_N3,PIN_W20,2.5 V,,,,,
KEY[3],Input,PIN_U16,4,B4_N0,PIN_U16,2.5 V,,,,,
KEY[2],Input,PIN_U22,5,B5_N2,PIN_U22,2.5 V,,,,,
KEY[1],Input,PIN_U20,5,B5_N2,PIN_U20,2.5 V,,,,,
KEY[0],Input,PIN_V22,5,B5_N2,PIN_V22,2.5 V,,,,,
LCD_BACKLIGHT,Output,PIN_V10,3,B3_N1,PIN_V10,2.5 V,,,,,
LCD_D[7],Bidir,PIN_Y3,3,B3_N3,PIN_Y3,2.5 V,,,,,
LCD_D[6],Bidir,PIN_V3,2,B2_N3,PIN_V3,2.5 V,,,,,
LCD_D[5],Bidir,PIN_Y4,3,B3_N3,PIN_Y4,2.5 V,,,,,
LCD_D[4],Bidir,PIN_V4,2,B2_N3,PIN_V4,2.5 V,,,,,
LCD_D[3],Bidir,PIN_V5,3,B3_N3,PIN_V5,2.5 V,,,,,
LCD_D[2],Bidir,PIN_V6,3,B3_N3,PIN_V6,2.5 V,,,,,
LCD_D[1],Bidir,PIN_V7,3,B3_N2,PIN_V7,2.5 V,,,,,
LCD_D[0],Bidir,PIN_V8,3,B3_N2,PIN_V8,2.5 V,,,,,
LCD_EN,Output,PIN_V9,3,B3_N1,PIN_V9,2.5 V,,,,,
LCD_RS,Output,PIN_U9,3,B3_N2,PIN_U9,2.5 V,,,,,
LCD_RW,Output,PIN_U8,3,B3_N3,PIN_U8,2.5 V,,,,,
LED_B,Output,PIN_E7,8,B8_N3,PIN_E7,2.5 V,,,,,
LED_G,Output,PIN_D7,8,B8_N2,PIN_D7,2.5 V,,,,,
LED_R,Output,PIN_D6,8,B8_N3,PIN_D6,2.5 V,,,,,
LEDM_C[4],Output,PIN_L8,1,B1_N2,PIN_L8,2.5 V,,,,,
LEDM_C[3],Output,PIN_J8,1,B1_N1,PIN_J8,2.5 V,,,,,
LEDM_C[2],Output,PIN_K8,1,B1_N2,PIN_K8,2.5 V,,,,,
LEDM_C[1],Output,PIN_J6,1,B1_N1,PIN_J6,2.5 V,,,,,
